text	id
Brenzaida's crest is down ; 	b
To leave its clay a little while, 	b
Can take the bliss that has been given, 	b
True to myself, and true to all, 	b
It was not hope that wrecked at once 	b
That never would cloud the world of day. 	b
The cold corpse from its funeral pall, 	b
A glorious child again ; 	b
And draw his tired gaze from futurity ? 	b
And black the piles of rain-clouds lour 	b
That glory-shedding star shall glow 	b
Where sinless sunshine lay : 	b
So softly evening blends with night, 	b
And seek a rough and lonely way ; 	b
First melted off the hope of youth, 	b
Nor mirth, nor music wakes my halls. 	b
They whispered nought, but, ' Lady, sleep, 	b
When it bears my slumbering child. 	b
Strikes the strings resistlesslyt 	b
The deep-down sea with sudden sound 	b
Calm this resentful mood ; 	b
Darkening all my summer skies, 	b
For well he knew what dangers frowned, 	b
All full of God thy features shine. 	b
The glad birds carolled clear ; 	b
Between his port and him. 	b
My name is on a million tongues, 	b
And nothing but that agony 	b
In daisied lawns sleep peacefully, 	b
And solemn, soothing, softened airs, 	b
* Others have been thou mayst be there. ' 	b
Incline thee to my changeful will, 	b
Thank the power that made thee part 	b
Because I could not save. 	b
It recks not now, when all is over : 	b
The woodland park around it spread, 	b
A mourner still, though friend and lover 	b
And there it lightens ! Dashed with gore 	b
We would not leave our nature home 	b
As if through all the 'wildering maze 	b
Time parts the heart of men. 	b
' Dearest, ever deem me true ' ; 	b
And makes the shout of victory 	b
Remoter still am I from Thee j 	b
And on a strange road journeyed on, 	b
might my eyes with tears run o'er ! 	b
And makes me strong to undergo 	b
But cold cold is that resting-place, 	b
Saw those tokens on the ground. 	b
And dear to me, aye doubly dear, 	b
O'er bower and trees that orb divine 	b
Thy eternal Justice found ! 	b
And sworn friends fall from me : 	b
A memory whose blighting beam 	b
The fate was cruel which bore 	b
To see her cheek's returning glow ; 	b
I saw her stand in the gallery long, 	b
Sleep on ; Heaven laughs above, 	b
A noble victory you shall sing 	b
He almost deemed, might have throbbed again 	b
Part human company ; 	b
And render up life's tiresome load. 	b
That by the death of my dearest treasures 	b
Through the wan autumnal sky ; 	b
I saw his hoof-prints mark the rock, 	b
But this shall be the only time 	b
I can tear my soul from its mould of clay, 	b
Hush its whispers in your breast ; 	b
1 should be where I wish to be. 	b
Crushed helpless into earth and Dust ! 	b
Full many an eye watched over me, 	b
Does sudden silence chill the room ? 	b
My whole heart centred there ; 	b
If you forget the sacred vows 	b
Then let me not despair ; 	b
Such as their lips could only pour, 	b
Beneath whose noble dome 	b
Have anchored safe, and rest at last 	b
His dark, keen eyes on Percy gaze 	b
Gone ! 'tis a word which through life's troubled 	b
Say how long my sleep has been ? 	b
Has warmed and blest me long : 	b
Would bring its after-storm of pain. 	b
Shall set my spirit free, 	b
And nerved, like mine, to kill ; 	b
The elm-tree by the haunted well 	b
THE LADY TO HER GUITAR 	b
And green light slept on the happy earth, 	b
I know our souls are all divine, 	b
To wander far away ; 	b
It is stilled above the slain. 	b
Sighing, mourning ever more. 	b
And his fiery heart aroused panting. 	b
Nor hurt thy soul eternally. 	b
Resounded far and near : 	b
These ceaseless tears ! I wish their flow 	b
This voice, though never heard before, 	b
How little fraught with real ill, 	b
And we together sadly sank 	b
The earth as golden, green, and fair, 	b
What joyous fete begun, 	b
And cheerfully go out to play. 	b
HEAVY hangs the rain-drop 	b
Pours black reproach on^me : 	b
Exhaust thy life and hold thee here. 	b
The reckless man would pray ; 	b
Of his unquenched, unclouded blaze, 	b
* Her heart is beating,' Lesley said, 	b
And heavy throbs the young heart 	b
And then I go to prove if God, at least, be true ! 	b
O'er wood and wold o'er flood and fell, 	b
The choking sob, the tortured moan. 	b
I need not yield to care, 	b
So lost that not a gleam may come. 	b
Frowning on the infant, 	b
Whose windows looked on the minster-yard, 	b
A bleak November's calm. 	b
That melancholy boy. 	b
GODS of the old mythology 	b
The stranger would not turn away, 	b
Long ere the poison-tainted air 	b
Chasing angry thought away. 	b
Where thou dost stand an hour ago, 	b
A deeper cup of bitterer pain ; 	b
On golden summer's forests green, 	b
'Twas grief enough to think mankind 	b
It might not be so drear, 	b
Has never wooed to blow, 	b
Scentless are thy petals, 	b
Can watch the lustre leave its skies 	b
The cannon with unceasing crash 	b
Not one voice sobs * farewell ' ; 	b
Barren is thy beauty, 	b
So heaven's sun shines in thee. 	b
Forget, forsake, refuse to hear ! 	b
You both were vainly given : 	b
I saw the light decay. 	b
YET o'er his face a solemn light 	b
Stanzas 5 and 6 have been crossed out in the manuscript. 	b
From trampling on thy buried breast. 	b
And bounding down the marble stair. 	b
That none can pass again. 	b
His banners all bravely flying ; 	b
And cheered his host by adding stern 	b
Why, Seraph, has thine erring wing 	b
Wafted thee down to weep with him ? 	b
IT *s over now ; I Ve known it all ; 	b
Nor do I come to mingle tears ; 	b
But sweet is day, though with shadows 	b
To feel the frost-wind blow ! 	b
Yet the grass before the door 	b
But never more look up and see 	b
Her darling child from her embrace 	b
Will then like virtues shine ; 	b
* Heavy and dark the night is closing ; 	b
Heavy and dark may its bidding be : 	b
May I never tread the hills again. 	b
Or how in exile misery 	b
' Watch in love by a fevered pillow, 	b
When heaven repels my prayer, 	b
Safe as the petrel on tossing billow, 	b
Like summer's sunshine o'er a hill, 	b
( Guardian-angel he lacks no longer ; 	b
From his last hopeless agony, 	b
Eclipsed the glory of the sky, 	b
And my love is truer than angel-care.' 	b
And all the joyous music breathing by, 	b
The place, the hour the same ; 	b
How canst thou linger now ? 	b
And stars were in the depth of blue, 	b
'Tis true she stands among the crowd, 	b
Even so, Guitar, thy magic tone 	b
The little lamp burns straight, its rays shoot 	b
And wept above thy fate the more 	b
Flung streaks of moonshine here and there. 	b
Your eyelids droop, a weight is on your brow ; 	b
Woe to the gifted, crime to the giver, 	b
And singing birds and sighing trees, 	b
And dim the hearts that slowly die. 	b
Spent in her Eden Isle 	b
Passed with the ray whose shine it caught ; 	b
What loves me, no word of mine shall e'er betray, 	b
When, severed wide by guiltless gore, 	b
And all their myriad voices 	b
I heard it then, you heard it too, 	b
He for whom I wait, thus ever comes to me ; 	b
Strange Power ! I trust thy might ; trust thou my 	b
Looks from its golden frame ; 	b
And that wide west has waked a word 	b
But listen ! The earth is our campaign of war, 	b
Whose sombre portal hides the light, 	b
Clings Percy's wounded spirit so : 	b
I shall not tread again the deep glens where it 	b
The narrow dungeon of the dead, 	b
A silence settled on the room, 	b
Across the waters of despair 	b
And quench the lamp and stir the fire, 	b
Nor, through long hours of future pain, 	b
Her kind face o'er thee shine ? 	b
Have wrapt the parent orb away. 	b
And give me liberty ! ' 	b
Greets no returning summer skies ; 	b
But yet faint not, mournful man ; 	b
And from that world of heavenly light 	b
To guide us in our lifetime's night, 	b
Drowsy and dark my spirit lies, 	b
But, ere night darkened down 	b
Thou wert so bright and fair, 	b
Yet could I with past pleasures 	b
With blue and ghostly gleams, 	b
Remorse even now may wake within 	b
' Well there is rest there, 	b
For there are angels weeping ; 	b
The streets are crowded all, 	b
Our children felt their fathers' wretchedness ; 	b
Its unsustaining vastness waxes drear ; 	b
And curb my own wild will. 	b
True heart and brow unmarked by time, 	b
The law that bade it not defy. 	b
And called on Heaven to aid 	b
With such a fervent zeal, 	b
The clouded forms of long-past history. 	b
It always walks with head declined, 	b
It vexes me to choose another guide : 	b
Their breasts have burst through the battle's 	b
Their ghostly fingers flecked with snow, 	b
What have those lonely mountains worth reveal- 	b
But a wild bird sprang from his hidden lair, 	b
The earth that wakes one human heart to feeling 	b
Though time should change my youthful face, 	b
THE following are the last lines my sister Emily ever wrote. 	b
No coward soul is mine, 	b
AND like myself lone, wholly lone, 	b
I see Heaven's glories shine, 	b
He hears the stream its waters fling ; 	b
I 'M standing in the forest now, 	b
Almighty, ever-present Deity ! 	b
But a brave heart, with a tarnished name, 	b
The splendour of the main, 	b
They did not dare to smile. 	b
That move men's hearts : unutterably vain ; 	b
With windows yawning on intenser gloom, 	b
When thy stream was troubled, did mine calmly 	b
The wind blew fresh and free. 	b
And forms and faces lost for ever 	b
A thousand dreams of mind. 	b
The steadfast rock of immortality. 	b
Or, with strained ear, to catch the shock, 	b
MILD the mist upon the hill, 	b
Pervades and broods above, 	b
Changes, sustains, dissolves, creates, and rears. 	b
Hath moved the tear and waked the sigh ; 	b
They kindled the perishing ember 	b
And Thou were left alone, 	b
That love, which will the wicked greet 	b
The oath within that caverned hall, 	b
And from the midst of cheerless gloom, 	b
One calm hour on the brink of life 	b
With thy mind's vision pierce the deep, 	b
Eternal midnight there. 	b
OPPRESSED with sin and woe, 	b
And madness cannot feel thy scorn, 	b
I longed to view that bliss divine 	b
And often when the sun declines 	b
The ghastly night, the ghastlier morrow, 	b
Her wavy hair on her shoulders bare, 	b
The burning tears that would keep welling, 	b
That stains our standard green ? 	b
Living in the depth of Heaven ; 	b
As if each gasp were life expelling, 	b
Like sudden ghosts, to memory came 	b
'Tis nothing to eternity : 	b
Mighty heaven, a glad avenger 	b
Death comes on every wind. 	b
That would not mourn the dead. 	b
Thickening above me evermore. 	b
Has neared its final close, 	b
No tongue would ask, no eye would mourn ; 	b
But mutely trace its airy way, 	b
At last refused to mourn. 	b
And summer days again begin 	b
Changing, and still the same, yet swiftly passing. 	b
The wild wind from that wavy main 	b
I never thought to see again. 	b
Bless thee, bright Sea, and glorious dome, 	b
And thinks he of Patrician pride, 	b
My voice is choked, but not with grief, 	b
Bright, but yet sullied, love which could never 	b
I know my mountain breezes 	b
Deepened the gloom of evening's sky, 	b
And, were they forged in steel, they could not hold 	b
The long grass bending where I lay, 	b
And in the heath or mountain far 	b
The goats fly by with timid cry, 	b
His golden days left long behind. 	b
But then it was a calmer woe, 	b
'Tis many a year, 'tis long ago, 	b
A dream of what had been before j 	b
Was that in which the summer sheen 	b
Ungoverned nature madly spurned 	b
Memory of feelings past, 	b
Often I 've sat down on the ground, 	b
Gazing up to the flush scarce seen, 	b
Those bounding breasts that grief should thrill 	b
Then died away, nor came again ; 	b
Thy deep, unutterable woe? 	b
But my sad heart must ever mourn 	b
It sought thy father's home and mine 	b
As I remembered it of old. 	b
And dreamy scents of fragrance pass 	b
Come back the feelings that would swell, 	b
FAR away is the land of rest 	b
They would have done it had they known 	b
Oh ! I shall weary for the light 	b
I howled, and tore my tangled hair ; 	b
Time has turned the bloom to grey, 	b
Lay in unspeakable despair. 	b
of New York in 1902. 	b
Then 'twas first my nursling smiled ; 	b
But both without a murmur there 	b
But her father smiled on the fairest child 	b
WHAT winter floods, what streams of spring 	b
winds coldly mourn 	b
Dead, dead is my joy, 	b
Might embrace in love again ; 	b
To see that water shine ; 	b
But sighing it murmurs, * Let memory perish, 	b
IN the same place, when nature wore 	b
And nothing on the summer gale 	b
The dearest to a mountaineer 	b
For, if your former words were true, 	b
I cannot say my faith is strong, 	b
Now might we doubt God's guardian 	b
Those wondrous southern Isles to hail, 	b
Behold he sinks away ! 	b
LORD of Elbe, on Elbe hill 	b
The mist is thick and the wind is chill ; 	b
More wakeful heart and eyelids grew. 	b
Has sighed for sorrow that thou wert away. 	b
And in his hair the south wind blows, 	b
And hopeless comes its dark decline, 	b
Oh, we are listening for a sound, 	b
Moans as the night gusts over it blow. 	b
Till each far-down reflection is 	b
I see them far off, and it deepens the gloom ; 	b
An undefined, an awful dream, 	b
Where chill, chill whiteness covered all, 	b
In unexhausted woe. 	b
In darkness long concealed, 	b
Would now be tossing under me. 	b
I will not question, only say 	b
But thou art now on the desolate sea, 	b
Regive him shadowy gleams of infancy 	b
Of love too warm, and wild, and bright. 	b
The Herons are flown to their trees by the Hall ; 	b
COLD, clear, and blue the morning heaven 	b
